codigo;denominacion;tipo;tipo_nombre;sub_codigo;abreviatura;orden
5;CAJA 05;27;CAJA;;;5
6;CAJA 06;27;CAJA;;;6
7;CAJA 07;27;CAJA;;;7
8;CAJA 08;27;CAJA;;;8
9;CAJA 09;27;CAJA;;;9
10;CAJA 10;27;CAJA;;;10
11;CAJA VIRTUAL;27;CAJA VIRTUAL;;;11
1;PENDIENTE;28;ESTADO PAGO;;;1
2;PAGADO;28;ESTADO PAGO;;;2
3;EXONERADO;28;ESTADO PAGO;;;3
4;ANULADO;28;ESTADO PAGO;;;4
1;ESTADO ENVIO WS;29;ESTADO ENVIO WS;;;1
1;CERTIFICADO;30;TIPO DOCUMENTO SUSTENTO;;;1
2;RESOLUCIÓN;30;TIPO DOCUMENTO SUSTENTO;;;2
3;CONSTACIA;30;TIPO DOCUMENTO SUSTENTO;;;3
4;SOLICITUD;30;TIPO DOCUMENTO SUSTENTO;;;4
5;FICHA CV;30;TIPO DOCUMENTO SUSTENTO;;;5
6;DECLARACIÓN JURADA;30;TIPO DOCUMENTO SUSTENTO;;;6
7;DATOS PERSONALES;30;TIPO DOCUMENTO SUSTENTO;;;7
1;INGRESO;31;RESULTADO DE CONCURSO;;;1
2;NO INGRESO;31;RESULTADO DE CONCURSO;;;2
1;VENTA INTERNA;32;TIPO DE OPERACIÓN;;;1
2;OPERACIÓN SUJETA A DETRACCION;32;TIPO DE OPERACIÓN;;;2
1;Exportación;32;TIPO DE OPERACIÓN;;;3
2;No Domiciliados;32;TIPO DE OPERACIÓN;;;4
3;Venta Interna - Anticipos;32;TIPO DE OPERACIÓN;;;5
4;Venta Itinerante;32;TIPO DE OPERACIÓN;;;6
5;Factura Guía;32;TIPO DE OPERACIÓN;;;7
6;Venta Arroz Pilado;32;TIPO DE OPERACIÓN;;;8
7;Factura - Comprobante de Percepción;32;TIPO DE OPERACIÓN;;;9
8;Factura - Guia Remitente;32;TIPO DE OPERACIÓN;;;10
9;Factura - Guia Transportista;32;TIPO DE OPERACIÓN;;;11
10;Boleta de Venta - Comprobante de Percepción;32;TIPO DE OPERACIÓN;;;12
1;CONTADO;33;FORMA PAGO;;;1
2;CREDITO;33;FORMA PAGO;;;2
1;Gravado - Operación Onerosa;34;TIPO_IGV;;;1
2;Gravado - Retiro por premio;34;TIPO_IGV;;;2
3;Gravado - Retiro por donación;34;TIPO_IGV;;;3
4;Gravado - Retiro;34;TIPO_IGV;;;4
5;Gravado - Retiro por publicidad;34;TIPO_IGV;;;5
6;Gravado - Bonificaciones;34;TIPO_IGV;;;6
7;Gravado - Retiro por entrega a trabajadores;34;TIPO_IGV;;;7
8;Gravado - IVAP;34;TIPO_IGV;;;8
9;Exonerado - Operación Onerosa;34;TIPO_IGV;;;9
10;Exonerado - Transferencia Gratuita;34;TIPO_IGV;;;10
11;Inafecto - Operación Onerosa;34;TIPO_IGV;;;11
12;Inafecto - Retiro por Bonificación;34;TIPO_IGV;;;12
13;Inafecto - Retiro;34;TIPO_IGV;;;13
14;Inafecto - Retiro por Muestras Médicas;34;TIPO_IGV;;;14
15;Inafecto - Retiro por Convenio Colectivo;34;TIPO_IGV;;;15
16;Inafecto - Retiro por premio;34;TIPO_IGV;;;16
17;Inafecto - Retiro por publicidad;34;TIPO_IGV;;;17
18;Inafecto - Transferencia Gratuita;34;TIPO_IGV;;;18
1;Recursos hidrobiológicos;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;1
2;Maíz amarillo duro;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;2
3;Madera;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;3
4;Arena y piedra;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;4
5;Intermediación laboral y tercerización;35;COD.BIENES Y SERVICIOS - DETRACCIÓN;;;5
6;Harina, polvo y "pellets" de pescado, crustáceos, moluscos y demás invertebrados acuáticos;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;6
7;Arrendamiento de bienes;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;7
8;Mantenimiento y reparación de bienes muebles;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;8
9;Movimiento de carga;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;9
10;Otros Servicios Empresariales;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;10
11;Comisión mercantil;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;11
12;Fabricación de bienes por encargo;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;12
13;Servicio de transporte de personas;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;13
14;Transporte de carga;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;14
15;Contratos de Construcción;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;15
16;Oro gravado con el IGV;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;16
17;Minerales metálicos no auríferos;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;17
18;Bienes exonerados del IGV;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;18
19;Oro y demás minerales metálicos exonerados del IGV;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;19
20;Demás servicios gravados con el IGV;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;20
21;Minerales no metálicos;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;;;21
1;Operación sujeta al Sistema de Pago de Obligaciones Tributarias con el Gobierno Central;36;TIPO OPERACIÓN DETRACCION;;;1
2;Operación sujeta al Sistema de Pago de Obligaciones T. – Servicio de Transporte de Pasajeros;36;TIPO OPERACIÓN DETRACCION;;;2
1;DEPÓSITO EN CUENTA;37;MEDIO DE PAGO;;;1
2;GIRO;37;MEDIO DE PAGO;;;2
3;TRANSFERENCIA DE FONDOS;37;MEDIO DE PAGO;;;3
4;ORDEN DE PAGO;37;MEDIO DE PAGO;;;4
5;TARJETA DE DÉBITO;37;MEDIO DE PAGO;;;5
6;TARJETA DE CRÉDITO EMITIDA EN EL PAÍS POR UNA EMPRESA DEL SISTEMA FINANCIERO;37;MEDIO DE PAGO;;;6
7;CHEQUES CON LA CLÁUSULA DE "NO NEGOCIABLE", "INTRANSFERIBLES", "NO A LA ORDEN" U OTRA ;37;MEDIO DE PAGO;;;7
8;EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIO DE PAGO;37;MEDIO DE PAGO;;;8
9;EFECTIVO, EN LOS DEMÁS CASOS;37;MEDIO DE PAGO;;;9
10;MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;10
11;DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CRÉDITO NO AUTORIZADAS A CAPTAR;37;MEDIO DE PAGO;;;11
12;TARJETA DE CRÉDITO EMITIDA EN EL PAÍS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA ;37;MEDIO DE PAGO;;;12
13;TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS;37;MEDIO DE PAGO;;;13
14;TRANSFERENCIAS - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;14
15;CHEQUES BANCARIOS  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;15
16;ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;16
17;ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;17
18;REMESA SIMPLE  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;18
19;REMESA DOCUMENTARIA  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;19
20;CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;20
21;CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR;37;MEDIO DE PAGO;;;21
22;OTROS MEDIOS DE PAGO;37;MEDIO DE PAGO;;;22
1;DNI;38;TIPO DOCUMENTO PERSONA;;;1
2;CARNÉ DE EXTRANJERÍA;38;TIPO DOCUMENTO PERSONA;;;2
3;PASAPORTE;38;TIPO DOCUMENTO PERSONA;;;3
4;CEDULA DIPLOMATICA DE IDENTIDAD;38;TIPO DOCUMENTO PERSONA;;;4
5;OTROS DOCUMENTOS DE IDENTIDAD;38;TIPO DOCUMENTO PERSONA;;;5
1;VIVIENDA UNIFAMILIAR;39;TIPO VIVIENDA;;;1
2;VIVIENDA MULTIFAMILIAR;39;TIPO VIVIENDA;;;2
3;VIVIENDA USO COMPLEMENTARIO;39;TIPO VIVIENDA;;;3
1;COMERCIO;40;TIPO USO;;;1
2;OFICINA;40;TIPO USO;;;2
3;INDUSTRIA;40;TIPO USO;;;3
4;SALUD;40;TIPO USO;;;4
5;EDUCACION;40;TIPO USO;;;5
6;HOSPEDAJE;40;TIPO USO;;;6
7;SERVICIOS COMUNALES;40;TIPO USO;;;7
8;RECREACION Y DEPORTE;40;TIPO USO;;;8
9;TRANSPORTE Y COMUNICACIONES;40;TIPO USO;;;9
10;OTROS;40;TIPO USO;;;10
1;PERUANA;41;NACIONALIDAD;;;1
2;EXTRANJERA;41;NACIONALIDAD;;;2
